,Unnamed: 0,name,latitude,longitude,timestamp,free_bikes,empty_slots,renting,returning,ebikes,station_id,Bar,Bar/Restaurant,Other,Park,Restaurant
143,143,Brahms Ave / Finch Ave E,43.79236326442992,-79.35836318028717,2025-07-29,5,11,1,1,0,143,0,0,0,0,10
144,144,King St W / Crawford St,43.6417852,-79.4131148,2025-07-29,20,0,1,1,0,144,1,0,1,3,5
145,145,Isabella St / Church St,43.66834,-79.38235,2025-07-29,19,6,1,1,1,145,2,0,1,1,6
146,146,Durie St / Dundas St W,43.665523,-79.484892,2025-07-29,1,20,1,1,0,146,2,0,2,0,6
147,147,Trent Ave / Danforth Ave,43.689293,-79.295895,2025-07-29,2,21,1,1,0,147,0,0,2,0,8
148,148,Marilyn Bell Park Tennis Court,43.633537,-79.437461,2025-07-29,2,25,1,1,0,148,0,0,1,2,7
149,149,Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,2025-07-29,5,9,1,1,2,149,2,0,1,4,3
150,150,Joe Shuster Way / King St W ,43.64039672322004,-79.4237424131447,2025-07-29,17,0,1,1,0,150,1,1,1,0,7
151,151,Sherbourne St / Wellesley St E,43.6673,-79.374,2025-07-29,12,16,1,1,6,151,4,0,0,1,5
152,152,Lower Jarvis St / The Esplanade,43.6478206,-79.3704721,2025-07-29,12,2,1,1,0,152,1,1,0,3,5
153,153,Sheppard Ave E / Willowdale Ave ,43.76411174298419,-79.39833699652739,2025-07-29,10,1,1,1,0,153,1,0,0,2,7
154,154,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,2025-07-29,12,3,1,1,1,154,1,1,0,1,7
155,155,Front St W / Simcoe St,43.644480035433915,-79.38698781349183,2025-07-29,0,25,1,1,0,155,0,2,0,1,7
156,156,Centre Island,43.61851569484422,-79.3730330079146,2025-07-29,18,13,1,1,0,156,1,0,1,4,4
157,157,135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,2025-07-29,14,1,1,1,0,157,2,1,0,3,4
158,158,15 Price St ,43.6799477790745,-79.38994813684005,2025-07-29,0,14,1,1,0,158,0,0,0,2,8
159,159,Kennedy Rd / Bertrand Ave,43.73746176713744,-79.26995937672586,2025-07-29,0,10,1,1,0,159,1,0,0,1,8
160,160,Jarvis St / Dundas St E,43.657266,-79.374756,2025-07-29,13,12,1,1,0,160,2,1,0,0,7
161,161,Orde St / McCaul St,43.6580442,-79.3927404,2025-07-29,0,13,1,1,0,161,3,1,0,3,3
162,162,University Ave / King St W - SMART,43.6477785,-79.3847928,2025-07-29,3,20,1,1,0,162,2,1,0,0,7
163,163,Islington Ave / Finch Ave W,43.74445257991756,-79.56824985721664,2025-07-29,3,11,1,1,0,163,0,0,0,2,8
164,164,The Queensway at South Kingsway,43.63632,-79.47307,2025-07-29,13,6,1,1,1,164,0,1,0,6,3
165,165,Roehampton Ave / Bayview Ave,43.711751,-79.378615,2025-07-29,7,17,1,1,2,165,2,0,0,1,7
166,166,Phoebe St / Spadina Ave,43.650033,-79.396555,2025-07-29,12,18,1,1,0,166,1,0,3,1,5
167,167,Yonge St / Lawrence Ave E,43.7254665,-79.40115449999999,2025-07-29,2,18,1,1,0,167,1,0,0,2,7
168,168,Bay St / Bloor St W (East Side),43.66943,-79.38915,2025-07-29,0,14,1,1,0,168,2,0,0,1,7
169,169,Symington Ave / Dupont St,43.665538,-79.451263,2025-07-29,5,7,1,1,0,169,0,0,1,2,7
170,170,Silver Springs Blvd / Birchmount Rd,43.800737007917,-79.30671242148874,2025-07-29,2,2,1,1,0,170,0,0,1,0,9
171,171,St. Clair Ave W / Osler St,43.6739269797493,-79.46068479021301,2025-07-29,2,9,1,1,0,171,0,0,0,2,8
172,172,Bridgman Ave / Bathurst St,43.674444,-79.414722,2025-07-29,0,14,1,1,0,172,0,0,0,2,8
173,173,Davenport Rd / Bedford Rd,43.674446,-79.398331,2025-07-29,3,10,1,1,1,173,0,0,0,2,8
174,174,University Ave / College St (East),43.65995,-79.38964,2025-07-29,0,15,1,1,0,174,4,0,0,2,4
175,175,York University (Glendon Campus) - SMART,43.727365488246306,-79.3814254607724,2025-07-29,12,1,1,1,0,175,2,0,0,2,6
176,176,Simcoe St / Elm St,43.656038841714505,-79.38970387738495,2025-07-29,0,11,1,1,0,176,2,0,0,1,7
177,177,24 Mountjoy Ave,43.68049350289877,-79.33044552721375,2025-07-29,13,5,1,1,0,177,2,2,0,1,5
178,178,Marine Parade Dr / Humber Bay Shores Park Trl,43.626461825093834,-79.47675102302073,2025-07-29,10,7,1,1,0,178,1,0,1,2,6
179,179,King St W / Spadina Ave,43.64514249449372,-79.39510358283808,2025-07-29,7,11,1,1,0,179,1,1,1,0,7
180,180,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,2025-07-29,0,34,1,1,0,180,1,1,0,2,6
181,181,Bayview Ave / Finch Recreational Trail,43.789068698639504,-79.39315096004944,2025-07-29,5,11,1,1,0,181,0,0,0,3,7
182,182,Keele St / Lloyd Ave,43.67115532642577,-79.46701597756929,2025-07-29,0,12,1,1,0,182,3,0,1,0,6
183,183,Viewmount Park,43.70735572654095,-79.43723072209013,2025-07-29,0,12,1,1,0,183,1,0,2,2,5
184,184,Housey St / Dan Leckie Way,43.63811,-79.397877,2025-07-29,20,4,1,1,0,184,0,1,0,5,4
185,185,Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,2025-07-29,17,0,1,1,2,185,0,1,0,2,7
186,186,Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,2025-07-29,0,18,1,1,0,186,1,0,2,1,6
187,187,Slan Ave / Scarborough Golf Club Rd,43.77327261711258,-79.21971485277862,2025-07-29,7,6,1,1,0,187,0,0,1,1,8
188,188,Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,2025-07-29,1,11,1,1,0,188,2,0,1,0,7
189,189,85 Lee Ave,43.6700692,-79.2971326,2025-07-29,0,18,1,1,0,189,1,0,0,4,5
190,190,King St W / Portland St - SMART,43.644395,-79.40065430000001,2025-07-29,30,2,1,1,0,190,0,1,2,1,6
191,191,Toronto Eaton Centre (Yonge St) - SMART,43.655431,-79.380653,2025-07-29,0,17,1,1,0,191,2,0,0,0,8
192,192,Sussex Ave / St George St,43.665304278965365,-79.39938263802871,2025-07-29,0,15,1,1,0,192,1,1,0,2,6
193,193,Baldwin St / Henry St,43.6560758,-79.393259,2025-07-29,9,3,1,1,1,193,2,1,0,1,6
194,194,Donlands Subway Station,43.681114,-79.3373885,2025-07-29,6,9,1,1,1,194,2,1,1,1,5
195,195,York St / Lake Shore Blvd W,43.641952,-79.380723,2025-07-29,12,5,1,1,0,195,1,1,0,2,6
196,196,Weston Rd / Sheppard Ave W,43.73262849415089,-79.5381993243286,2025-07-29,1,13,1,1,0,196,0,1,0,2,7
197,197,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,2025-07-29,1,10,1,1,0,197,0,0,0,2,8
198,198,Leslie Subway Station,43.77037892370793,-79.36702734195678,2025-07-29,3,12,1,1,0,198,0,0,0,0,10
199,199,Baycrest Ave / Bathurst St,43.72966526118746,-79.4324727837474,2025-07-29,2,16,1,1,0,199,0,0,0,0,10
200,200,Pharmacy Ave / Teesdale Pl,43.69735608087488,-79.28528711019696,2025-07-29,17,2,1,1,0,200,1,0,0,2,7
201,201,Lindylou Rd / Lanyard Rd,43.74845421407306,-79.5504039969242,2025-07-29,4,8,1,1,0,201,0,0,0,1,9
202,202,Blake St / Boultbee Ave,43.672453,-79.338259,2025-07-29,14,1,1,1,0,202,1,2,0,3,4
